step,time,x,y,z,qpos_hip_p_l,qpos_hip_r_l,qpos_hip_y_l,qpos_knee_p_l,qpos_ank_p_l,qpos_ank_r_l,qpos_hip_p_r,qpos_hip_r_r,qpos_hip_y_r,qpos_knee_p_r,qpos_ank_p_r,qpos_ank_r_r,qvel_hip_p_l,qvel_hip_r_l,qvel_hip_y_l,qvel_knee_p_l,qvel_ank_p_l,qvel_ank_r_l,qvel_hip_p_r,qvel_hip_r_r,qvel_hip_y_r,qvel_knee_p_r,qvel_ank_p_r,qvel_ank_r_r,tau_hip_p_l,tau_hip_r_l,tau_hip_y_l,tau_knee_p_l,tau_ank_p_l,tau_ank_r_l,tau_hip_p_r,tau_hip_r_r,tau_hip_y_r,tau_knee_p_r,tau_ank_p_r,tau_ank_r_r,action_hip_p_l,action_hip_r_l,action_hip_y_l,action_knee_p_l,action_ank_p_l,action_ank_r_l,action_hip_p_r,action_hip_r_r,action_hip_y_r,action_knee_p_r,action_ank_p_r,action_ank_r_r,cmd_vx,cmd_vy,cmd_vyaw,fall
10,0.3200,-0.1155,0.0390,0.6467,-0.6792,-0.0358,0.0408,0.9838,-0.2860,0.0761,-0.5939,0.0050,0.0476,0.8092,-0.1974,0.0506,-1.6240,-0.3009,-0.5649,2.6094,-0.2744,-5.1220,-1.4163,0.0837,-0.0013,2.4015,-0.1865,0.0590,-0.66,37.55,-9.75,-61.41,-36.67,-11.86,-1.36,-11.05,-11.90,43.80,-25.00,-0.07,-1.4566,1.5077,-0.0479,-0.4711,-2.0091,0.4687,-1.2251,-0.2858,-0.1680,1.6657,-1.0651,0.1873,0.50,0.00,0.00,0
11,0.3400,-0.1232,0.0372,0.6423,-0.6936,-0.0343,0.0384,1.0051,-0.2830,0.0811,-0.6093,0.0125,0.0518,0.8338,-0.1967,0.0474,-0.1851,0.6628,0.7166,0.1548,1.0775,4.1795,-0.2845,0.6326,0.5265,-0.0110,0.0534,-0.1409,-7.90,35.95,-8.17,-80.80,-36.53,-6.79,6.45,-12.01,-4.03,30.25,-22.53,0.32,-1.7608,1.2412,-0.2415,-0.8020,-2.0762,0.3734,-0.9074,-0.4266,0.0050,1.5990,-0.8996,0.1877,0.50,0.00,0.00,0
12,0.3600,-0.1281,0.0353,0.6390,-0.6921,-0.0352,0.0256,1.0216,-0.2782,0.0791,-0.6031,0.0188,0.0465,0.8473,-0.1954,0.0458,0.7715,0.6981,-0.1327,0.1008,-0.4543,0.4666,1.1204,0.8210,-0.0937,-0.7262,0.0284,-0.0567,-22.45,23.83,-10.38,-61.78,-31.42,-13.71,25.33,-7.29,0.70,24.44,-26.35,2.04,-2.1870,0.7991,-0.4935,-0.2777,-1.8496,-0.3218,0.1434,-0.1851,0.0622,1.3205,-1.1620,0.3185,0.50,0.00,0.00,0
13,0.3800,-0.1316,0.0336,0.6361,-0.6848,-0.0406,0.0100,1.0385,-0.2784,0.0677,-0.5860,0.0167,0.0324,0.8548,-0.1916,0.0430,0.1442,-0.1700,-0.7063,1.2675,-0.1907,-4.6774,0.8275,-0.3071,-1.0313,0.4346,0.0043,0.0348,-23.37,13.45,1.35,-64.26,-32.39,-23.21,17.17,1.39,-4.70,23.57,-24.98,-0.14,-2.1686,0.2987,0.0212,-0.3285,-1.7409,-0.4447,-0.1859,0.0453,-0.1993,1.3508,-1.0234,0.1640,0.50,0.00,0.00,0
14,0.4000,-0.1364,0.0329,0.6325,-0.6833,-0.0430,0.0103,1.0535,-0.2710,0.0635,-0.5850,0.0140,0.0302,0.8700,-0.1886,0.0438,-0.5252,-0.8217,-0.8396,1.1916,0.6299,-7.0963,-0.3395,-0.3055,-0.0277,1.0712,-0.2995,0.4283,-17.61,20.67,1.87,-60.71,-33.66,-7.70,-1.08,-8.08,-0.65,23.55,-23.89,-0.57,-2.0005,0.6525,0.0887,-0.1664,-1.9115,-0.0639,-1.0821,-0.2133,0.0910,1.4885,-1.0158,0.2217,0.50,0.00,0.00,0
15,0.4200,-0.1416,0.0328,0.6282,-0.6884,-0.0479,0.0103,1.0695,-0.2620,0.0731,-0.5938,0.0113,0.0324,0.8944,-0.1764,0.0422,-0.3486,-0.4262,-0.3987,0.7002,0.9911,0.7312,-0.5830,-0.3408,-0.5241,1.2331,0.6355,-0.1385,0.30,38.46,-12.77,-53.32,-40.80,11.59,-10.56,-5.60,-9.34,21.40,-31.65,2.50,-1.4479,1.1901,-0.6536,0.2045,-2.0749,0.2023,-1.5070,-0.2379,-0.3206,1.5007,-1.2630,0.2959,0.50,0.00,0.00,0
16,0.4400,-0.1470,0.0324,0.6235,-0.6965,-0.0460,0.0103,1.0879,-0.2660,0.0804,-0.6039,0.0125,0.0294,0.9154,-0.1737,0.0456,-0.4336,-0.4483,-0.7940,1.0061,-0.0706,1.2310,-0.4862,-0.0438,-0.2386,1.2221,0.0638,0.2126,-6.26,33.89,-24.07,-49.10,-40.10,-18.87,-0.89,-8.45,-4.23,22.98,-28.42,1.95,-1.6923,1.1749,-0.7229,0.3026,-2.0847,0.0475,-1.1437,-0.3621,0.0105,1.6082,-1.1750,0.3522,0.50,0.00,0.00,0
17,0.4600,-0.1519,0.0321,0.6189,-0.7020,-0.0504,0.0086,1.1059,-0.2610,0.0763,-0.6100,0.0078,0.0246,0.9382,-0.1732,0.0483,0.1575,-0.0923,-0.0927,0.6953,-0.1650,1.1210,-0.0217,-0.0936,-0.2188,1.0423,-0.0032,0.0802,-1.03,30.99,-14.30,-53.52,-38.03,-13.85,-1.39,-11.62,-0.25,15.54,-28.59,2.04,-1.4454,1.0557,-0.5231,0.3054,-2.0320,0.0543,-1.0960,-0.4569,0.0353,1.4875,-1.1993,0.3484,0.50,0.00,0.00,0
18,0.4800,-0.1557,0.0316,0.6150,-0.6984,-0.0504,0.0079,1.1194,-0.2620,0.0786,-0.6078,0.0082,0.0234,0.9535,-0.1715,0.0483,0.3567,-0.0093,-0.1888,0.6708,-0.3546,0.6757,0.2061,0.0497,-0.1816,0.9580,0.1103,-0.0383,2.00,32.83,-18.90,-61.44,-40.41,-8.65,-7.44,-11.46,-5.06,11.68,-29.95,1.98,-1.2842,1.1092,-0.7421,0.1163,-2.2570,0.2148,-1.3029,-0.4237,-0.1334,1.4227,-1.2553,0.3200,0.50,0.00,0.00,0
19,0.5000,-0.1593,0.0311,0.6118,-0.6936,-0.0526,0.0082,1.1324,-0.2662,0.0646,-0.6041,0.0063,0.0228,0.9690,-0.1710,0.0466,-0.0140,1.0587,0.7158,0.6161,0.1415,-4.9797,0.2795,0.9166,0.6621,-0.6813,0.1447,-0.1523,4.32,36.03,-22.90,-62.04,-40.16,-3.48,-16.72,-12.95,-3.22,10.74,-31.90,2.30,-1.1156,1.2207,-0.8949,0.1320,-2.3952,0.2578,-1.6452,-0.4986,-0.0543,1.4897,-1.4239,0.3199,0.50,0.00,0.00,0
