step,time,x,y,z,qpos_hip_p_l,qpos_hip_r_l,qpos_hip_y_l,qpos_knee_p_l,qpos_ank_p_l,qpos_ank_r_l,qpos_hip_p_r,qpos_hip_r_r,qpos_hip_y_r,qpos_knee_p_r,qpos_ank_p_r,qpos_ank_r_r,qvel_hip_p_l,qvel_hip_r_l,qvel_hip_y_l,qvel_knee_p_l,qvel_ank_p_l,qvel_ank_r_l,qvel_hip_p_r,qvel_hip_r_r,qvel_hip_y_r,qvel_knee_p_r,qvel_ank_p_r,qvel_ank_r_r,tau_hip_p_l,tau_hip_r_l,tau_hip_y_l,tau_knee_p_l,tau_ank_p_l,tau_ank_r_l,tau_hip_p_r,tau_hip_r_r,tau_hip_y_r,tau_knee_p_r,tau_ank_p_r,tau_ank_r_r,action_hip_p_l,action_hip_r_l,action_hip_y_l,action_knee_p_l,action_ank_p_l,action_ank_r_l,action_hip_p_r,action_hip_r_r,action_hip_y_r,action_knee_p_r,action_ank_p_r,action_ank_r_r,cmd_vx,cmd_vy,cmd_vyaw,fall
123,2.5800,-0.2466,-0.0405,0.4046,-1.0441,0.2174,-0.0126,1.7520,-0.0402,0.0252,-1.0228,0.2974,0.0488,1.8070,-0.2693,0.0727,0.3288,-0.0181,-0.0430,-0.1062,1.6784,0.3018,0.4011,-0.0303,-0.0992,-0.0829,0.3115,0.0572,120.00,11.06,-72.33,-120.00,0.27,10.65,-96.48,-34.43,-65.99,120.00,-11.60,-3.97,3.4403,1.3633,-2.9530,0.6163,2.0514,1.1837,-6.4787,-0.1484,-2.4567,9.3790,-0.4152,0.0245,0.50,0.00,0.00,0
124,2.6000,-0.2468,-0.0406,0.4044,-1.0422,0.2168,-0.0127,1.7517,-0.0493,0.0182,-1.0220,0.2981,0.0495,1.8071,-0.2602,0.0757,-0.0902,0.1669,0.2935,0.0889,-0.2697,-0.0498,-0.2696,0.1016,0.2413,0.1531,0.3765,0.1569,65.10,-20.16,-20.99,-78.71,7.21,4.10,-108.09,-27.81,-15.72,57.88,-31.43,-7.58,-0.1649,0.0859,-0.8516,2.1102,1.6475,0.2956,-7.0389,0.0981,-0.3977,5.9805,-1.6569,-0.1716,0.50,0.00,0.00,0
125,2.6200,-0.2465,-0.0403,0.4050,-1.0341,0.2169,-0.0131,1.7508,-0.0494,0.0208,-1.0127,0.2980,0.0497,1.8050,-0.2637,0.0768,0.5716,0.0452,-0.2105,0.0669,-0.2414,0.3922,0.7445,0.0111,-0.1765,-0.1713,-0.1898,0.0360,120.00,22.84,-82.57,-120.00,7.99,17.37,-94.35,-33.99,-68.50,120.00,-3.12,-3.42,3.4668,1.7859,-3.3812,0.5149,1.7656,1.3859,-6.3248,-0.1697,-2.5647,9.7027,0.0942,0.0862,0.50,0.00,0.00,0
126,2.6400,-0.2464,-0.0402,0.4045,-1.0321,0.2181,-0.0155,1.7537,-0.0481,0.0228,-1.0091,0.2986,0.0474,1.8056,-0.2639,0.0772,0.1641,0.2839,-0.0449,-0.0633,-0.2069,-0.6516,0.1797,0.1585,-0.0333,-0.2276,0.0786,0.0047,47.28,-12.06,-17.53,-73.14,4.48,4.14,-102.48,-31.81,-8.44,34.75,-29.07,-6.56,-0.7748,0.3697,-0.7438,2.2466,1.4587,0.2719,-6.6696,-0.0918,-0.1273,5.3262,-1.5828,-0.1282,0.50,0.00,0.00,0
127,2.6600,-0.2463,-0.0404,0.4048,-1.0245,0.2171,-0.0172,1.7526,-0.0472,0.0166,-1.0007,0.2989,0.0471,1.8040,-0.2624,0.0763,0.6531,0.0801,0.1645,0.0007,0.1567,0.2201,0.5757,0.1053,0.2133,-0.0049,-0.2507,-0.1950,120.00,10.49,-70.30,-120.00,9.27,21.18,-95.77,-31.02,-66.19,120.00,-9.03,-2.86,3.3659,1.2745,-2.8653,0.5420,1.9625,1.0902,-6.3411,-0.0573,-2.4286,9.3654,-0.2900,0.0848,0.50,0.00,0.00,0
128,2.6800,-0.2462,-0.0401,0.4047,-1.0176,0.2179,-0.0158,1.7532,-0.0400,0.0195,-0.9944,0.2990,0.0478,1.8049,-0.2625,0.0780,0.1236,-0.0451,0.1635,-0.0605,-0.2943,-0.1895,0.0903,-0.0250,0.1919,-0.0044,-0.1509,0.0729,64.93,-9.05,-30.76,-76.04,2.27,7.01,-111.67,-33.01,-13.88,55.61,-26.78,-6.72,-0.0204,0.5396,-1.2929,2.1850,1.3667,0.4138,-6.9933,-0.1038,-0.3564,5.8843,-1.4470,-0.1107,0.50,0.00,0.00,0
129,2.7000,-0.2461,-0.0401,0.4047,-1.0095,0.2167,-0.0176,1.7533,-0.0477,0.0306,-0.9859,0.2992,0.0474,1.8051,-0.2637,0.0770,1.0050,0.1306,0.1379,-0.2346,0.5961,-1.9320,1.0534,0.0979,0.1597,-0.3220,-0.3751,-0.0145,120.00,19.15,-76.83,-120.00,8.84,16.23,-100.23,-34.77,-65.34,120.00,-8.29,-4.09,3.1592,1.6140,-3.1248,0.5781,1.7534,1.2198,-6.4409,-0.2026,-2.3905,9.1602,-0.2882,0.0308,0.50,0.00,0.00,0
130,2.7200,-0.2460,-0.0399,0.4049,-1.0000,0.2179,-0.0168,1.7531,-0.0463,0.0160,-0.9764,0.2996,0.0478,1.8044,-0.2634,0.0784,0.0634,-0.0874,0.1184,0.0640,-0.1035,0.7142,0.0357,-0.0538,0.0799,0.1882,0.1002,0.0561,71.94,-6.15,-30.79,-88.56,13.24,5.14,-111.46,-36.80,-15.70,38.12,-35.77,-8.98,0.3055,0.6518,-1.3040,1.8772,2.0306,0.4822,-6.9419,-0.2573,-0.4422,5.4510,-2.0185,-0.2738,0.50,0.00,0.00,0
131,2.7400,-0.2459,-0.0399,0.4058,-0.9816,0.2165,-0.0153,1.7489,-0.0452,0.0166,-0.9592,0.2993,0.0500,1.8022,-0.2642,0.0779,1.4692,0.0726,0.3462,-0.4402,-0.2402,-0.3893,1.3782,0.0045,0.2926,-0.2819,0.0334,0.0175,120.00,24.91,-84.40,-120.00,22.31,23.68,-108.64,-36.85,-68.14,120.00,-13.72,-5.40,3.9895,1.8704,-3.4078,0.2907,2.7228,1.3217,-6.5723,-0.2711,-2.4912,9.9209,-0.5670,-0.0449,0.50,0.00,0.00,0
132,2.7600,-0.2459,-0.0399,0.4052,-0.9740,0.2166,-0.0150,1.7509,-0.0387,0.0195,-0.9520,0.2993,0.0500,1.8051,-0.2638,0.0788,-0.4440,-0.0785,-0.2497,0.3903,-0.4128,0.1159,-0.3327,0.0133,-0.1672,0.4712,0.0134,0.0475,54.33,-2.45,-27.16,-89.80,16.17,5.23,-120.00,-35.49,-22.48,20.58,-35.12,-9.23,-0.3411,0.7192,-1.1444,1.8634,2.2056,0.4595,-7.3929,-0.2276,-0.6699,5.0596,-1.9926,-0.2928,0.50,0.00,0.00,0
133,2.7800,-0.2459,-0.0399,0.4051,-0.9699,0.2160,-0.0205,1.7531,-0.0457,0.0202,-0.9437,0.2987,0.0456,1.8026,-0.2642,0.0791,0.2557,-0.1304,-0.4042,0.0746,-0.2758,0.1559,0.5983,-0.0831,-0.3318,-0.2420,-0.0439,-0.0262,120.00,25.32,-90.12,-120.00,22.41,19.30,-115.06,-39.12,-72.23,120.00,-13.88,-5.38,4.6962,1.8941,-3.7547,0.0982,2.6299,1.3679,-6.8754,-0.3608,-2.7604,10.6356,-0.5925,-0.0470,0.50,0.00,0.00,0
134,2.8000,-0.2459,-0.0399,0.4047,-0.9719,0.2138,-0.0262,1.7559,-0.0454,0.0182,-0.9425,0.2975,0.0409,1.8030,-0.2666,0.0795,-0.0784,-0.0507,0.1125,-0.1184,-0.7368,0.1218,-0.0420,-0.0726,0.0676,-0.0930,-0.0619,0.0225,52.20,-16.68,-12.22,-86.50,35.66,2.92,-120.00,-33.38,-25.73,29.89,-35.36,-9.05,-0.3760,0.2142,-0.6082,1.9090,3.3246,0.2471,-7.7913,-0.1212,-0.8719,5.1810,-2.0419,-0.2805,0.50,0.00,0.00,0
135,2.8200,-0.2459,-0.0400,0.4044,-0.9762,0.2133,-0.0327,1.7591,-0.0420,0.0253,-0.9423,0.2970,0.0353,1.8010,-0.2656,0.0800,-0.3987,-0.2079,-0.5004,0.2891,-0.1260,-0.6740,-0.0376,-0.1412,-0.4506,-0.0287,0.1141,0.0270,120.00,21.37,-91.25,-120.00,29.88,20.88,-120.00,-38.60,-82.78,120.00,-12.58,-3.88,4.9287,1.7229,-3.8719,-0.0735,3.1665,1.3495,-7.2941,-0.3495,-3.2482,10.9990,-0.4831,0.0670,0.50,0.00,0.00,0
136,2.8400,-0.2457,-0.0404,0.4049,-0.9801,0.2114,-0.0368,1.7575,-0.0408,0.0321,-0.9441,0.2976,0.0342,1.7982,-0.2685,0.0719,0.3420,0.1321,0.5246,-0.5585,-0.2557,-0.2472,0.0130,-0.0076,0.3777,-0.3077,0.1960,-0.5550,38.64,-23.07,-3.72,-79.40,44.80,-4.43,-120.00,-26.25,-19.43,15.97,-41.07,-6.86,-0.8521,-0.0202,-0.1267,2.0451,4.1252,0.1645,-7.7600,0.1059,-0.5657,4.7989,-2.4028,-0.2876,0.50,0.00,0.00,0
137,2.8600,-0.2454,-0.0399,0.4064,-0.9770,0.2105,-0.0337,1.7526,-0.0408,0.0187,-0.9425,0.2964,0.0357,1.7953,-0.2640,0.0745,-0.0296,-0.0944,-0.2133,0.0551,0.2322,-1.3045,0.0869,-0.0504,-0.1956,-0.0753,-0.0761,0.4361,120.00,26.40,-92.45,-120.00,32.10,28.65,-107.62,-38.67,-83.57,120.00,-7.97,-4.55,5.2594,1.8904,-3.8710,0.1344,3.5962,1.4869,-6.6640,-0.3622,-3.2310,11.1210,-0.1950,0.0733,0.50,0.00,0.00,0
138,2.8800,-0.2458,-0.0400,0.4045,-0.9956,0.2119,-0.0341,1.7586,-0.0379,0.0105,-0.9613,0.2970,0.0345,1.8008,-0.2666,0.0850,-1.5052,0.1910,0.0893,0.5445,0.0556,-0.2871,-1.6614,0.1088,0.0232,0.6206,-0.0069,0.4632,50.34,-20.47,-1.73,-86.85,50.00,8.38,-120.00,-25.15,-19.85,18.77,-50.00,-10.80,-0.7775,0.0318,-0.1862,1.9795,4.7800,0.3277,-8.6539,0.1870,-0.6446,4.9730,-3.0625,-0.2877,0.50,0.00,0.00,0
139,2.9000,-0.2455,-0.0400,0.4051,-0.9997,0.2113,-0.0344,1.7569,-0.0402,0.0157,-0.9644,0.2972,0.0361,1.7989,-0.2663,0.0861,-0.2714,0.0780,-0.2148,0.1594,0.9749,-3.0372,-0.1337,0.0746,-0.1224,-0.0676,-0.3716,-0.1850,120.00,14.76,-82.91,-120.00,41.33,19.75,-113.14,-39.85,-81.52,120.00,-15.56,-4.83,5.5304,1.4269,-3.4801,0.2463,3.9692,1.3667,-7.0023,-0.4021,-3.1270,10.9615,-0.7623,-0.0034,0.50,0.00,0.00,0
140,2.9200,-0.2455,-0.0403,0.4048,-1.0088,0.2092,-0.0351,1.7570,-0.0374,0.0188,-0.9736,0.2972,0.0365,1.8009,-0.2683,0.0811,-0.1133,0.0901,0.3807,-0.2314,-0.0938,-0.7556,-0.3185,0.0302,0.3228,-0.0737,0.0118,-0.2776,57.06,-24.59,-5.27,-82.56,50.00,6.29,-120.00,-26.21,-23.64,38.35,-50.00,-8.59,-0.3424,-0.1319,-0.2868,1.9901,4.6707,0.3299,-9.2048,0.1426,-0.7478,5.4130,-3.2032,-0.3031,0.50,0.00,0.00,0
141,2.9400,-0.2455,-0.0400,0.4051,-1.0115,0.2090,-0.0346,1.7562,-0.0267,0.0253,-0.9760,0.2963,0.0360,1.7997,-0.2659,0.0810,-0.1248,-0.0521,-0.2167,0.1565,-0.2795,-0.2913,0.0616,-0.0489,-0.1783,-0.1011,-0.0181,0.2478,120.00,26.54,-89.29,-120.00,26.72,21.02,-101.48,-38.16,-82.87,120.00,-11.37,-6.68,4.8334,1.8917,-3.7407,0.1742,3.0964,1.4590,-6.5662,-0.3572,-3.2018,11.0567,-0.4249,-0.0728,0.50,0.00,0.00,0
142,2.9600,-0.2455,-0.0400,0.4047,-1.0189,0.2093,-0.0344,1.7576,-0.0330,0.0200,-0.9834,0.2966,0.0366,1.8011,-0.2709,0.0812,-0.4126,0.0404,0.2740,-0.0190,-0.3721,0.0932,-0.5918,0.0368,0.2239,0.1453,-0.1038,-0.0424,49.53,-20.10,-2.48,-82.65,45.79,3.15,-120.00,-25.01,-17.96,36.81,-48.65,-9.20,-0.7397,0.0484,-0.2169,2.0099,4.2592,0.3051,-8.3981,0.1936,-0.5552,5.3864,-2.9554,-0.2956,0.50,0.00,0.00,0
143,2.9800,-0.2455,-0.0400,0.4045,-1.0226,0.2103,-0.0316,1.7573,-0.0401,0.0207,-0.9889,0.2971,0.0387,1.8030,-0.2697,0.0803,0.1672,0.1733,0.0232,-0.0279,-0.3924,-0.1615,0.1416,0.0966,0.0187,-0.1004,0.1168,-0.0430,120.00,12.82,-74.83,-120.00,26.37,16.29,-108.47,-34.96,-72.41,120.00,-18.32,-4.52,4.1341,1.3494,-3.0943,0.3922,2.9456,1.2018,-6.8790,-0.2158,-2.7204,10.0449,-0.8794,0.0106,0.50,0.00,0.00,0
144,3.0000,-0.2455,-0.0402,0.4044,-1.0267,0.2082,-0.0287,1.7556,-0.0296,0.0182,-0.9957,0.2968,0.0420,1.8058,-0.2734,0.0796,-0.2849,-0.1234,0.3363,-0.2072,-0.2478,0.0607,-0.4130,-0.1683,0.2711,0.0233,0.0842,0.0348,54.42,-11.91,-18.95,-85.73,29.30,5.19,-120.00,-26.52,-21.99,55.06,-44.41,-7.74,-0.5392,0.3451,-0.8668,1.9169,3.1719,0.4117,-8.2295,0.1389,-0.6928,5.9117,-2.6524,-0.1896,0.50,0.00,0.00,0
145,3.0200,-0.2455,-0.0400,0.4044,-1.0294,0.2098,-0.0246,1.7543,-0.0375,0.0205,-1.0007,0.2974,0.0450,1.8065,-0.2696,0.0807,-0.0878,0.1195,-0.0020,-0.0127,-0.3229,0.1395,-0.1074,0.0655,-0.0438,0.0319,0.3263,0.1320,120.00,14.16,-73.30,-120.00,15.17,17.38,-103.05,-36.04,-68.01,120.00,-14.22,-5.63,3.7719,1.4184,-3.0055,0.5758,2.1749,1.2414,-6.7406,-0.2472,-2.5258,9.4686,-0.5709,-0.0325,0.50,0.00,0.00,0
146,3.0400,-0.2454,-0.0400,0.4043,-1.0320,0.2098,-0.0214,1.7539,-0.0331,0.0202,-1.0054,0.2980,0.0484,1.8091,-0.2780,0.0788,-0.3323,-0.1386,0.0976,-0.0953,-0.3869,0.0331,-0.3900,-0.0499,0.1055,0.3464,-0.2772,-0.1381,73.04,-11.34,-28.27,-80.07,15.46,5.82,-120.00,-30.45,-18.69,71.65,-34.21,-5.78,0.1884,0.3590,-1.1824,2.0746,2.1834,0.4543,-7.8895,-0.0391,-0.5280,6.3798,-2.0865,-0.1043,0.50,0.00,0.00,0
147,3.0600,-0.2452,-0.0406,0.4044,-1.0333,0.2101,-0.0195,1.7522,-0.0289,0.0189,-1.0087,0.2987,0.0494,1.8106,-0.2700,0.0817,0.0380,0.0691,0.2503,-0.1003,0.0996,-0.4334,-0.1445,0.0705,0.2162,0.0628,0.5040,0.2225,120.00,4.84,-68.52,-120.00,11.83,16.77,-111.93,-32.87,-65.99,120.00,-16.36,-4.57,3.6696,1.0645,-2.7609,0.6706,2.1246,1.1586,-7.1144,-0.1087,-2.3993,9.1425,-0.6688,0.0655,0.50,0.00,0.00,0
148,3.0800,-0.2453,-0.0403,0.4044,-1.0340,0.2110,-0.0142,1.7504,-0.0361,0.0193,-1.0119,0.2995,0.0549,1.8111,-0.2705,0.0815,-0.3280,-0.0285,0.2065,-0.0579,-0.2940,0.0825,-0.4133,-0.0554,0.1378,0.0927,-0.1482,-0.1052,69.45,-13.13,-26.60,-79.66,15.14,5.61,-120.00,-28.25,-18.62,67.13,-35.28,-6.94,0.0204,0.3396,-1.0877,2.0700,2.1854,0.4613,-7.8288,0.0778,-0.5015,6.2326,-2.0769,-0.1616,0.50,0.00,0.00,0
149,3.1000,-0.2454,-0.0402,0.4043,-1.0353,0.2095,-0.0153,1.7504,-0.0373,0.0214,-1.0131,0.2986,0.0542,1.8111,-0.2701,0.0824,0.2888,-0.9335,-0.6665,-0.5445,-0.4255,-0.2940,0.3184,-0.2260,-0.0079,-0.3794,-0.6764,0.0193,120.00,17.95,-79.36,-120.00,13.85,14.23,-97.45,-33.95,-65.08,120.00,-9.28,-5.91,3.5579,1.5648,-3.2378,0.8015,2.1090,1.3346,-6.5269,-0.1637,-2.3946,9.7756,-0.2725,-0.0350,0.50,0.00,0.00,0
150,3.1200,-0.2454,-0.0404,0.4043,-1.0356,0.2070,-0.0167,1.7499,-0.0335,0.0160,-1.0137,0.2986,0.0545,1.8120,-0.2737,0.0828,-0.8336,-1.6767,-2.0480,-0.2453,-2.0062,-1.5795,-0.5033,0.0156,-0.6361,-0.1974,0.1015,0.0434,58.14,-20.01,-12.63,-76.79,19.40,3.06,-112.50,-27.50,-15.92,42.54,-35.00,-8.09,-0.4385,0.0350,-0.5202,2.1348,2.5020,0.2880,-7.1924,0.0917,-0.3840,5.5846,-2.0282,-0.2038,0.50,0.00,0.00,0
151,3.1400,-0.2453,-0.0402,0.4047,-1.0317,0.2090,-0.0116,1.7476,-0.0329,0.0187,-1.0117,0.2988,0.0577,1.8118,-0.2705,0.0828,0.3850,0.0052,0.1928,-0.1657,-0.1801,-0.1302,0.3119,-0.0180,0.1610,-0.0580,0.1563,-0.0028,120.00,-9.85,-54.37,-120.00,28.06,12.61,-104.30,-29.97,-70.00,120.00,-22.93,-5.28,3.7496,0.4549,-2.1893,0.6456,3.0968,0.8099,-6.7713,0.0016,-2.5418,9.3284,-1.1803,-0.0218,0.50,0.00,0.00,0
152,3.1600,-0.2454,-0.0399,0.4045,-1.0294,0.2099,-0.0061,1.7471,-0.0308,0.0231,-1.0129,0.2986,0.0619,1.8147,-0.2698,0.0825,0.0829,0.1092,0.2046,-0.0196,-0.2775,-0.7588,-0.1317,0.1690,0.3212,0.2305,0.1987,0.0364,74.26,-25.57,-24.16,-84.64,23.49,5.81,-113.85,-25.14,-26.05,72.63,-36.27,-8.05,0.2845,-0.1726,-0.9249,1.9122,2.7950,0.3109,-7.2079,0.1950,-0.7367,6.3928,-2.0919,-0.1851,0.50,0.00,0.00,0
153,3.1800,-0.2453,-0.0399,0.4046,-1.0266,0.2099,-0.0080,1.7477,-0.0252,0.0262,-1.0083,0.2987,0.0608,1.8139,-0.2707,0.0832,0.2956,-0.0473,-0.4733,0.0994,-0.1486,-0.2786,0.5637,0.0316,-0.1504,-0.0408,0.2185,-0.1609,120.00,31.97,-92.00,-120.00,9.44,21.26,-97.04,-38.56,-75.38,120.00,-4.56,-5.69,3.3214,2.0927,-3.7411,0.3750,1.9920,1.5115,-6.4407,-0.3631,-2.7949,10.0579,-0.0134,-0.0399,0.50,0.00,0.00,0
154,3.2000,-0.2452,-0.0399,0.4045,-1.0254,0.2101,-0.0114,1.7493,-0.0322,0.0199,-1.0047,0.2983,0.0572,1.8123,-0.2700,0.0827,-0.0836,0.1926,-0.0659,0.1310,-0.5691,-0.0027,-0.0452,0.1175,-0.0860,-0.0650,0.1132,-0.0575,53.98,-20.27,-11.65,-71.23,13.62,2.15,-95.96,-28.85,-8.13,40.27,-28.73,-8.01,-0.5511,0.0354,-0.5273,2.2918,2.1131,0.2369,-6.4501,0.0424,-0.1106,5.5054,-1.5724,-0.2143,0.50,0.00,0.00,0
155,3.2200,-0.2450,-0.0400,0.4057,-1.0142,0.2082,-0.0113,1.7450,-0.0251,0.0228,-0.9938,0.2980,0.0583,1.8092,-0.2719,0.0818,1.1084,0.2453,0.2608,-0.1633,4.0147,1.6870,1.0016,0.1578,0.2476,-0.2937,0.0833,-0.0253,120.00,0.85,-67.44,-120.00,16.63,14.07,-110.30,-29.15,-71.03,120.00,-13.27,-3.14,3.6859,0.8695,-2.6880,0.4903,2.3122,1.0076,-6.8450,0.0190,-2.5627,9.5916,-0.5585,0.1132,0.50,0.00,0.00,0
156,3.2400,-0.2452,-0.0399,0.4045,-1.0182,0.2089,-0.0098,1.7483,-0.0278,0.0180,-0.9990,0.2985,0.0595,1.8134,-0.2703,0.0831,-1.0520,0.4052,-0.0324,0.6166,-0.7328,-0.1391,-1.1568,0.2990,-0.0648,0.4576,0.0457,-0.0382,47.89,-18.00,-19.39,-86.28,-10.83,3.12,-112.37,-23.47,-18.78,41.72,-31.19,-8.05,-0.8979,0.0849,-0.8023,1.9359,0.4752,0.2711,-7.2395,0.2457,-0.4913,5.6203,-1.7551,-0.2122,0.50,0.00,0.00,0
157,3.2600,-0.2448,-0.0398,0.4061,-1.0097,0.2084,-0.0091,1.7434,-0.0328,0.0217,-0.9901,0.2976,0.0599,1.8090,-0.2777,0.0811,0.7833,-0.0108,0.1063,-0.2241,-0.3277,1.2802,0.7801,-0.0365,0.0767,-0.2857,-0.0948,-0.0994,120.00,5.56,-69.42,-120.00,9.48,16.48,-97.72,-33.31,-64.61,120.00,-12.15,-5.36,3.3377,1.0654,-2.8245,0.6868,1.9099,1.0978,-6.3602,-0.1372,-2.3503,9.1273,-0.5485,-0.0514,0.50,0.00,0.00,0
158,3.2800,-0.2449,-0.0398,0.4056,-1.0070,0.2098,-0.0064,1.7442,-0.0332,0.0212,-0.9892,0.2983,0.0614,1.8114,-0.2729,0.0808,-0.2502,0.1852,0.1805,0.3368,-0.3497,0.7296,-0.4385,0.1193,0.0907,0.3952,0.4141,0.0803,88.93,-19.04,-30.43,-85.67,13.02,2.83,-120.00,-31.08,-26.72,74.69,-33.85,-8.52,0.8928,0.0867,-1.2159,1.9112,2.1135,0.4202,-7.5730,-0.0458,-0.8093,6.4780,-1.8697,-0.2320,0.50,0.00,0.00,0
159,3.3000,-0.2450,-0.0403,0.4051,-1.0045,0.2088,-0.0090,1.7455,-0.0307,0.0216,-0.9862,0.2985,0.0596,1.8124,-0.2740,0.0820,0.5945,-0.1167,-0.1069,-0.1832,0.7637,-1.8501,0.7427,-0.1342,-0.0826,-0.2289,-0.1090,0.0112,120.00,18.59,-80.05,-120.00,6.72,19.66,-117.00,-37.81,-70.03,120.00,-11.62,-7.25,2.8870,1.5675,-3.2446,0.6366,1.6454,1.3530,-7.0987,-0.3267,-2.5648,9.3054,-0.5009,-0.1536,0.50,0.00,0.00,0
160,3.3200,-0.2451,-0.0399,0.4049,-1.0021,0.2081,-0.0108,1.7471,-0.0292,0.0263,-0.9820,0.2973,0.0578,1.8120,-0.2734,0.0821,-0.2892,-0.0494,-0.1088,0.1618,-0.1170,-0.8162,-0.1903,-0.0643,-0.1268,0.0967,0.1034,0.0011,66.35,-16.56,-20.91,-88.98,10.27,5.95,-110.43,-31.40,-19.65,37.43,-35.17,-10.00,0.0252,0.1741,-0.8975,1.8494,1.9025,0.3555,-6.9559,-0.0682,-0.5733,5.4578,-2.0198,-0.3387,0.50,0.00,0.00,0
161,3.3400,-0.2451,-0.0399,0.4048,-0.9980,0.2078,-0.0143,1.7486,-0.0305,0.0198,-0.9756,0.2968,0.0548,1.8100,-0.2727,0.0820,0.4909,-0.2048,-0.0794,-0.0557,-0.2009,0.4839,0.4182,-0.0899,0.1238,-0.2705,-0.9185,-0.1058,120.00,3.36,-66.30,-120.00,27.01,11.88,-106.14,-31.23,-69.75,120.00,-17.74,-7.94,3.8860,0.9688,-2.7292,0.4309,3.0393,1.0650,-6.6480,-0.0639,-2.5951,9.8029,-0.8243,-0.1925,0.50,0.00,0.00,0
162,3.3600,-0.2451,-0.0402,0.4047,-0.9943,0.2060,-0.0178,1.7491,-0.0268,0.0186,-0.9701,0.2969,0.0534,1.8099,-0.2765,0.0763,0.2170,-0.0650,0.1280,-0.0440,-0.3398,0.0609,0.2013,-0.0705,0.0552,-0.0287,-0.0285,-0.6685,71.93,-27.72,-14.42,-95.22,31.71,2.65,-120.00,-23.67,-39.92,42.92,-40.15,-9.17,0.3623,-0.3002,-0.6066,1.6517,3.3179,0.2777,-7.6654,0.2015,-1.3600,5.6354,-2.3845,-0.4375,0.50,0.00,0.00,0
163,3.3800,-0.2451,-0.0400,0.4045,-0.9906,0.2048,-0.0206,1.7510,-0.0177,0.0239,-0.9649,0.2950,0.0487,1.8108,-0.2717,0.0765,0.6094,-0.0955,-0.0702,-0.1993,-0.1302,-0.2622,0.7047,-0.1485,-0.1272,-0.2370,-0.0218,0.3744,120.00,21.33,-79.75,-120.00,18.97,17.31,-108.94,-39.86,-72.39,120.00,-18.87,-8.70,3.4609,1.6560,-3.3297,0.2431,2.6102,1.1815,-6.7868,-0.4209,-2.7579,10.0000,-0.9642,-0.2098,0.50,0.00,0.00,0
164,3.4000,-0.2451,-0.0400,0.4045,-0.9888,0.2054,-0.0227,1.7519,-0.0251,0.0185,-0.9613,0.2955,0.0475,1.8088,-0.2725,0.0832,-0.0837,0.0035,0.0834,-0.0824,-0.3324,0.0547,-0.0615,0.1591,0.1841,-0.0826,-0.4939,0.0622,65.14,-16.73,-20.50,-85.42,25.54,3.15,-119.26,-33.26,-24.37,44.73,-31.46,-9.08,0.0739,0.1591,-0.9223,1.9294,2.8992,0.2788,-7.1789,-0.1362,-0.7592,5.6041,-1.8979,-0.2585,0.50,0.00,0.00,0
165,3.4200,-0.2450,-0.0401,0.4045,-0.9900,0.2044,-0.0283,1.7538,-0.0277,0.0193,-0.9585,0.2947,0.0427,1.8073,-0.2764,0.0843,0.0727,-0.0561,-0.4624,0.0302,-0.0078,1.2295,0.3948,-0.0128,-0.3776,-0.2649,0.0075,0.0431,120.00,10.91,-83.24,-120.00,25.70,20.29,-120.00,-34.03,-84.49,120.00,-13.87,-4.23,4.8307,1.2448,-3.4781,-0.0852,3.0408,1.2621,-7.4731,-0.2049,-3.2445,10.6110,-0.6373,0.0637,0.50,0.00,0.00,0
166,3.4400,-0.2449,-0.0401,0.4053,-0.9907,0.2037,-0.0296,1.7514,-0.0210,0.0186,-0.9581,0.2945,0.0421,1.8034,-0.2723,0.0843,-0.5847,0.1083,0.0246,0.0017,-0.3099,0.0692,-0.6026,0.0556,0.0057,-0.0044,0.2306,-0.0097,46.28,-27.44,-1.35,-84.40,30.27,1.29,-120.00,-24.15,-26.02,14.81,-42.26,-10.37,-0.7611,-0.2743,-0.1491,1.9542,3.2541,0.1749,-8.0219,0.2127,-0.8541,4.8049,-2.4615,-0.3561,0.50,0.00,0.00,0
167,3.4600,-0.2449,-0.0402,0.4045,-1.0013,0.2034,-0.0334,1.7553,-0.0283,0.0203,-0.9666,0.2940,0.0383,1.8051,-0.2717,0.0819,0.1274,0.1523,-0.3389,-0.0408,-0.4339,-0.0790,0.3305,0.0397,-0.3978,-0.3093,0.2755,-0.0292,120.00,4.70,-81.17,-120.00,28.64,16.16,-115.21,-32.19,-84.25,120.00,-15.40,-3.84,5.0862,0.9676,-3.3720,0.1211,3.1448,1.1788,-7.0331,-0.1419,-3.2203,10.6480,-0.7052,0.0414,0.50,0.00,0.00,0
168,3.4800,-0.2450,-0.0405,0.4045,-1.0090,0.2016,-0.0346,1.7545,-0.0222,0.0187,-0.9743,0.2937,0.0378,1.8051,-0.2723,0.0842,-0.4718,0.1072,0.4096,-0.0594,-0.3794,0.0936,-0.6766,0.0569,0.3423,0.0723,0.2653,-0.0222,61.82,-29.35,-3.63,-84.10,44.97,1.81,-120.00,-25.58,-28.43,40.20,-45.81,-9.42,-0.2264,-0.3313,-0.2506,1.9609,4.2236,0.1895,-8.2103,0.1737,-0.9573,5.4795,-2.6876,-0.2941,0.50,0.00,0.00,0
