step,time,x,y,z,qpos_hip_p_l,qpos_hip_r_l,qpos_hip_y_l,qpos_knee_p_l,qpos_ank_p_l,qpos_ank_r_l,qpos_hip_p_r,qpos_hip_r_r,qpos_hip_y_r,qpos_knee_p_r,qpos_ank_p_r,qpos_ank_r_r,qvel_hip_p_l,qvel_hip_r_l,qvel_hip_y_l,qvel_knee_p_l,qvel_ank_p_l,qvel_ank_r_l,qvel_hip_p_r,qvel_hip_r_r,qvel_hip_y_r,qvel_knee_p_r,qvel_ank_p_r,qvel_ank_r_r,tau_hip_p_l,tau_hip_r_l,tau_hip_y_l,tau_knee_p_l,tau_ank_p_l,tau_ank_r_l,tau_hip_p_r,tau_hip_r_r,tau_hip_y_r,tau_knee_p_r,tau_ank_p_r,tau_ank_r_r,action_hip_p_l,action_hip_r_l,action_hip_y_l,action_knee_p_l,action_ank_p_l,action_ank_r_l,action_hip_p_r,action_hip_r_r,action_hip_y_r,action_knee_p_r,action_ank_p_r,action_ank_r_r,cmd_vx,cmd_vy,cmd_vyaw,fall
10,0.3200,0.0583,-0.0259,0.6186,-0.5016,0.0279,-0.0158,1.3054,-0.3212,-0.0460,-0.4773,-0.0120,0.0132,1.0883,-0.5334,0.0103,-2.9668,-0.5726,-1.4773,4.9425,5.3623,-0.3008,0.0590,0.5280,0.1707,0.4604,-0.7665,-0.3008,-0.00,3.86,-6.29,-12.21,12.57,5.03,-5.45,-3.69,15.25,-29.19,20.75,-1.01,-1.0639,0.1833,-0.5364,2.7303,1.9748,0.0873,-0.7218,-0.1190,0.6870,0.8385,0.5002,-0.0834,0.50,0.00,0.00,0
11,0.3400,0.0619,-0.0291,0.6170,-0.5861,0.0093,-0.0462,1.4251,-0.1572,-0.0708,-0.4806,-0.0008,0.0212,1.0986,-0.5460,0.0040,-4.6254,-1.1736,-1.3433,5.9380,9.3886,-1.1546,-0.0281,0.5763,0.5967,0.3100,-0.5727,-0.3222,-33.10,-15.42,13.16,-11.49,1.25,-1.38,36.76,-12.39,25.57,-13.07,46.69,-3.16,-2.9704,-0.7478,0.1229,3.3623,2.6225,-0.5723,0.9349,-0.4095,1.1936,1.2928,2.2184,-0.2570,0.50,0.00,0.00,0
12,0.3600,0.0643,-0.0311,0.6145,-0.7022,-0.0079,-0.0498,1.5687,-0.0987,-0.0916,-0.4956,0.0051,0.0256,1.1218,-0.5541,-0.0020,-6.1801,-0.7191,0.5681,7.1640,0.0665,-0.9067,-0.7780,0.1660,0.1417,1.3267,-0.3596,-0.2790,-36.76,-5.31,12.04,-11.67,-7.17,-0.28,45.01,-23.35,19.14,9.13,41.66,-2.58,-3.8170,-0.3551,0.3472,4.0799,0.6079,-0.5648,1.0919,-0.8845,0.8901,2.0980,1.8927,-0.2347,0.50,0.00,0.00,0
13,0.3800,0.0673,-0.0326,0.6116,-0.8134,-0.0120,-0.0256,1.6685,-0.1535,-0.0906,-0.5032,0.0074,0.0249,1.1405,-0.5635,-0.0071,-5.0707,0.0660,1.5251,3.2204,-3.6799,0.1738,-0.1408,0.0963,-0.0968,0.7999,-0.5384,-0.2394,-21.48,2.62,1.32,-24.88,-2.79,-0.16,28.15,-18.22,14.16,-2.59,36.38,-4.52,-3.5012,0.0606,0.1757,3.6648,-0.0962,-0.3377,0.4848,-0.6840,0.6532,1.7951,1.4697,-0.3764,0.50,0.00,0.00,0
14,0.4000,0.0709,-0.0338,0.6088,-0.9065,-0.0131,0.0002,1.6924,-0.2356,-0.0830,-0.5027,0.0072,0.0212,1.1481,-0.5795,-0.0114,-4.3455,-0.1139,1.0824,-0.2430,-3.9723,0.3595,0.0116,-0.0189,-0.1781,0.2872,-0.9983,-0.2021,-7.91,3.99,-6.92,-14.36,0.16,0.14,2.14,-21.77,12.40,-17.35,22.45,-5.03,-3.2138,0.0909,-0.1037,3.5936,-0.3110,-0.2508,-0.5217,-0.8457,0.5524,1.3657,0.3944,-0.4207,0.50,0.00,0.00,0
15,0.4200,0.0741,-0.0348,0.6052,-0.9811,-0.0158,0.0124,1.6495,-0.3059,-0.0707,-0.5087,0.0077,0.0182,1.1601,-0.6018,-0.0151,-3.2436,-0.0881,0.1987,-3.3125,-3.0855,0.5880,-0.5941,0.1362,-0.1220,1.0276,-1.0592,-0.1703,7.28,6.86,-10.21,-3.72,1.18,0.20,-12.48,-19.33,5.09,-22.68,9.41,-2.33,-2.7429,0.1954,-0.3138,3.3089,-0.3572,-0.1528,-1.2221,-0.7263,0.2582,1.3602,-0.5882,-0.2491,0.50,0.00,0.00,0
16,0.4400,0.0779,-0.0360,0.6014,-1.0284,-0.0138,0.0122,1.5673,-0.3517,-0.0604,-0.5157,0.0125,0.0157,1.1789,-0.6213,-0.0182,-1.7975,0.2403,-0.1743,-4.3426,-1.8065,0.4379,-0.1795,0.3252,-0.1382,0.8862,-0.9229,-0.1421,14.88,5.28,-4.97,12.72,1.83,0.01,-14.63,-21.73,6.05,-32.34,7.65,-2.78,-2.4085,0.1879,-0.1706,3.2621,-0.2485,-0.1536,-1.2809,-0.7725,0.2847,1.1651,-0.7534,-0.2863,0.50,0.00,0.00,0
17,0.4600,0.0832,-0.0372,0.5976,-1.0539,-0.0119,0.0090,1.4776,-0.3558,-0.0653,-0.5145,0.0182,0.0121,1.1944,-0.6394,-0.0207,-0.9614,0.0226,-0.1269,-4.2245,0.4353,-0.3301,0.2226,0.2726,-0.2178,0.7173,-0.9052,-0.1078,8.74,-2.92,2.92,17.22,1.55,-0.06,-12.29,-22.32,8.72,-41.10,9.58,-4.84,-2.6204,-0.1597,0.1321,3.0256,0.1514,-0.3302,-1.1208,-0.7784,0.3657,0.9728,-0.6924,-0.4269,0.50,0.00,0.00,0
18,0.4800,0.0898,-0.0380,0.5940,-1.0652,-0.0091,0.0125,1.4023,-0.3436,-0.0712,-0.5050,0.0232,0.0064,1.2060,-0.6577,-0.0224,-0.3382,0.2060,0.3664,-3.1907,0.5990,-0.2552,0.6442,0.2433,-0.3337,0.4895,-0.9270,-0.0708,10.53,-1.28,2.98,19.55,0.48,-0.07,-16.40,-27.75,7.55,-48.08,11.48,-5.57,-2.4966,-0.0575,0.2198,2.9098,0.1757,-0.3398,-1.1827,-0.9804,0.2782,0.8051,-0.6426,-0.4756,0.50,0.00,0.00,0
19,0.5000,0.0972,-0.0384,0.5901,-1.0654,-0.0017,0.0245,1.3478,-0.3393,-0.0623,-0.4934,0.0251,-0.0034,1.2186,-0.6759,-0.0232,0.1872,0.4594,0.6760,-2.2208,0.0254,0.4909,0.5582,0.0764,-0.4914,0.6675,-0.9082,-0.0145,17.74,1.68,-1.25,18.53,0.50,-0.11,-24.68,-30.82,3.27,-38.03,21.79,-5.53,-2.1291,0.1285,0.1506,2.7904,0.0857,-0.1587,-1.4755,-1.1210,0.0420,1.1430,-0.0247,-0.4651,0.50,0.00,0.00,0
