step,time,x,y,z,qpos_hip_p_l,qpos_hip_r_l,qpos_hip_y_l,qpos_knee_p_l,qpos_ank_p_l,qpos_ank_r_l,qpos_hip_p_r,qpos_hip_r_r,qpos_hip_y_r,qpos_knee_p_r,qpos_ank_p_r,qpos_ank_r_r,qvel_hip_p_l,qvel_hip_r_l,qvel_hip_y_l,qvel_knee_p_l,qvel_ank_p_l,qvel_ank_r_l,qvel_hip_p_r,qvel_hip_r_r,qvel_hip_y_r,qvel_knee_p_r,qvel_ank_p_r,qvel_ank_r_r,tau_hip_p_l,tau_hip_r_l,tau_hip_y_l,tau_knee_p_l,tau_ank_p_l,tau_ank_r_l,tau_hip_p_r,tau_hip_r_r,tau_hip_y_r,tau_knee_p_r,tau_ank_p_r,tau_ank_r_r,action_hip_p_l,action_hip_r_l,action_hip_y_l,action_knee_p_l,action_ank_p_l,action_ank_r_l,action_hip_p_r,action_hip_r_r,action_hip_y_r,action_knee_p_r,action_ank_p_r,action_ank_r_r,cmd_vx,cmd_vy,cmd_vyaw,fall
120,0.3400,0.0619,-0.0291,0.6170,-0.5861,0.0093,-0.0462,1.4251,-0.1572,-0.0708,-0.4806,-0.0008,0.0212,1.0986,-0.5460,0.0040,-4.6254,-1.1736,-1.3433,5.9380,9.3886,-1.1546,-0.0281,0.5763,0.5967,0.3100,-0.5727,-0.3222,-33.10,-15.42,13.16,-11.49,1.25,-1.38,36.76,-12.39,25.57,-13.07,46.69,-3.16,-2.9704,-0.7478,0.1229,3.3623,2.6225,-0.5723,0.9349,-0.4095,1.1936,1.2928,2.2184,-0.2570,0.50,0.00,0.00,0
121,0.3600,0.0643,-0.0311,0.6145,-0.7022,-0.0079,-0.0498,1.5687,-0.0987,-0.0916,-0.4956,0.0051,0.0256,1.1218,-0.5541,-0.0020,-6.1801,-0.7191,0.5681,7.1640,0.0665,-0.9067,-0.7780,0.1660,0.1417,1.3267,-0.3596,-0.2790,-36.76,-5.31,12.04,-11.67,-7.17,-0.28,45.01,-23.35,19.14,9.13,41.66,-2.58,-3.8170,-0.3551,0.3472,4.0799,0.6079,-0.5648,1.0919,-0.8845,0.8901,2.0980,1.8927,-0.2347,0.50,0.00,0.00,0
122,0.3800,0.0673,-0.0326,0.6116,-0.8134,-0.0120,-0.0256,1.6685,-0.1535,-0.0906,-0.5032,0.0074,0.0249,1.1405,-0.5635,-0.0071,-5.0707,0.0660,1.5251,3.2204,-3.6799,0.1738,-0.1408,0.0963,-0.0968,0.7999,-0.5384,-0.2394,-21.48,2.62,1.32,-24.88,-2.79,-0.16,28.15,-18.22,14.16,-2.59,36.38,-4.52,-3.5012,0.0606,0.1757,3.6648,-0.0962,-0.3377,0.4848,-0.6840,0.6532,1.7951,1.4697,-0.3764,0.50,0.00,0.00,0
123,0.4000,0.0709,-0.0338,0.6088,-0.9065,-0.0131,0.0002,1.6924,-0.2356,-0.0830,-0.5027,0.0072,0.0212,1.1481,-0.5795,-0.0114,-4.3455,-0.1139,1.0824,-0.2430,-3.9723,0.3595,0.0116,-0.0189,-0.1781,0.2872,-0.9983,-0.2021,-7.91,3.99,-6.92,-14.36,0.16,0.14,2.14,-21.77,12.40,-17.35,22.45,-5.03,-3.2138,0.0909,-0.1037,3.5936,-0.3110,-0.2508,-0.5217,-0.8457,0.5524,1.3657,0.3944,-0.4207,0.50,0.00,0.00,0
124,0.4200,0.0741,-0.0348,0.6052,-0.9811,-0.0158,0.0124,1.6495,-0.3059,-0.0707,-0.5087,0.0077,0.0182,1.1601,-0.6018,-0.0151,-3.2436,-0.0881,0.1987,-3.3125,-3.0855,0.5880,-0.5941,0.1362,-0.1220,1.0276,-1.0592,-0.1703,7.28,6.86,-10.21,-3.72,1.18,0.20,-12.48,-19.33,5.09,-22.68,9.41,-2.33,-2.7429,0.1954,-0.3138,3.3089,-0.3572,-0.1528,-1.2221,-0.7263,0.2582,1.3602,-0.5882,-0.2491,0.50,0.00,0.00,0
125,0.4400,0.0779,-0.0360,0.6014,-1.0284,-0.0138,0.0122,1.5673,-0.3517,-0.0604,-0.5157,0.0125,0.0157,1.1789,-0.6213,-0.0182,-1.7975,0.2403,-0.1743,-4.3426,-1.8065,0.4379,-0.1795,0.3252,-0.1382,0.8862,-0.9229,-0.1421,14.88,5.28,-4.97,12.72,1.83,0.01,-14.63,-21.73,6.05,-32.34,7.65,-2.78,-2.4085,0.1879,-0.1706,3.2621,-0.2485,-0.1536,-1.2809,-0.7725,0.2847,1.1651,-0.7534,-0.2863,0.50,0.00,0.00,0
126,0.4600,0.0832,-0.0372,0.5976,-1.0539,-0.0119,0.0090,1.4776,-0.3558,-0.0653,-0.5145,0.0182,0.0121,1.1944,-0.6394,-0.0207,-0.9614,0.0226,-0.1269,-4.2245,0.4353,-0.3301,0.2226,0.2726,-0.2178,0.7173,-0.9052,-0.1078,8.74,-2.92,2.92,17.22,1.55,-0.06,-12.29,-22.32,8.72,-41.10,9.58,-4.84,-2.6204,-0.1597,0.1321,3.0256,0.1514,-0.3302,-1.1208,-0.7784,0.3657,0.9728,-0.6924,-0.4269,0.50,0.00,0.00,0
127,0.4800,0.0898,-0.0380,0.5940,-1.0652,-0.0091,0.0125,1.4023,-0.3436,-0.0712,-0.5050,0.0232,0.0064,1.2060,-0.6577,-0.0224,-0.3382,0.2060,0.3664,-3.1907,0.5990,-0.2552,0.6442,0.2433,-0.3337,0.4895,-0.9270,-0.0708,10.53,-1.28,2.98,19.55,0.48,-0.07,-16.40,-27.75,7.55,-48.08,11.48,-5.57,-2.4966,-0.0575,0.2198,2.9098,0.1757,-0.3398,-1.1827,-0.9804,0.2782,0.8051,-0.6426,-0.4756,0.50,0.00,0.00,0
128,0.5000,0.0972,-0.0384,0.5901,-1.0654,-0.0017,0.0245,1.3478,-0.3393,-0.0623,-0.4934,0.0251,-0.0034,1.2186,-0.6759,-0.0232,0.1872,0.4594,0.6760,-2.2208,0.0254,0.4909,0.5582,0.0764,-0.4914,0.6675,-0.9082,-0.0145,17.74,1.68,-1.25,18.53,0.50,-0.11,-24.68,-30.82,3.27,-38.03,21.79,-5.53,-2.1291,0.1285,0.1506,2.7904,0.0857,-0.1587,-1.4755,-1.1210,0.0420,1.1430,-0.0247,-0.4651,0.50,0.00,0.00,0
129,0.5200,0.1046,-0.0383,0.5859,-1.0576,0.0109,0.0399,1.3126,-0.3489,-0.0441,-0.4910,0.0231,-0.0182,1.2444,-0.6785,-0.0150,0.5508,0.7123,0.7385,-1.3344,-0.6485,0.8505,0.0770,-0.0850,-0.8144,1.4325,-0.0654,0.5024,14.41,-0.45,-1.29,15.45,0.64,-0.22,-21.07,-28.26,3.56,-28.96,40.11,-6.34,-2.1757,0.1324,0.2238,2.6821,-0.0759,-0.0208,-1.3943,-1.0535,-0.0562,1.5844,1.3588,-0.3806,0.50,0.00,0.00,0
130,0.5400,0.1114,-0.0380,0.5810,-1.0506,0.0232,0.0502,1.2983,-0.3713,-0.0180,-0.5091,0.0218,-0.0344,1.2977,-0.6593,-0.0168,0.3240,0.4277,0.3235,-0.2952,-1.2164,1.2059,-1.0465,-0.2104,-0.9567,2.7273,1.7918,-0.7844,2.88,-3.22,-0.10,10.08,0.57,-0.37,-7.93,-20.65,2.17,-5.14,50.00,0.74,-2.6386,0.0354,0.2516,2.6143,-0.2836,0.1444,-1.1144,-0.7687,-0.1981,2.5932,2.8652,-0.1765,0.50,0.00,0.00,0
131,0.5600,0.1179,-0.0370,0.5752,-1.0435,0.0258,0.0508,1.2901,-0.4030,0.0143,-0.5347,0.0242,-0.0428,1.3598,-0.6342,-0.0271,0.3910,-0.0822,-0.1714,-0.4743,-1.5970,1.4720,-1.3044,0.2270,-0.3040,3.1114,1.1478,-0.4168,-4.98,-4.62,1.68,2.87,0.37,-0.51,-1.61,-13.55,6.30,-6.19,50.00,5.04,-2.9155,-0.0880,0.2500,2.3783,-0.4998,0.3173,-1.0033,-0.4135,0.0333,2.8667,3.2442,0.1436,0.50,0.00,0.00,0
132,0.5800,0.1248,-0.0353,0.5696,-1.0455,0.0183,0.0389,1.3066,-0.3896,0.0660,-0.5585,0.0278,-0.0467,1.4203,-0.6045,-0.0303,-0.3166,-0.3988,-0.6204,1.4068,1.4799,0.6070,-0.9089,0.0492,-0.0342,2.3926,3.4485,1.1334,5.54,-0.70,2.04,-18.92,-10.61,-4.34,-0.33,-10.42,6.93,-7.33,50.00,8.12,-2.6025,-0.0202,0.1336,2.0872,-0.5960,0.2116,-1.0078,-0.2828,0.0627,3.0600,3.3976,0.3702,0.50,0.00,0.00,0
133,0.6000,0.1322,-0.0333,0.5647,-1.0504,0.0111,0.0286,1.3355,-0.3662,0.0703,-0.5733,0.0312,-0.0472,1.4715,-0.5545,-0.0096,-0.0959,-0.3301,-0.4466,1.3633,0.9276,0.1892,-0.6726,0.1631,-0.0055,2.5950,2.0531,0.9638,11.60,-3.69,1.22,-26.58,-12.30,-1.05,-8.63,-4.61,1.54,-6.93,50.00,6.54,-2.3583,-0.1547,0.0929,2.0076,-0.6984,0.2477,-1.3432,-0.0338,-0.1272,3.2257,3.6323,0.5859,0.50,0.00,0.00,0
134,0.6200,0.1397,-0.0311,0.5609,-1.0474,0.0046,0.0196,1.3543,-0.3318,0.0748,-0.5969,0.0351,-0.0464,1.5361,-0.5048,0.0082,0.3619,-0.3226,-0.4758,0.6994,1.9982,0.2016,-1.2180,0.2267,0.0226,3.2599,2.9333,0.8286,30.94,-1.92,-9.27,-28.83,-14.44,2.22,-27.48,2.05,-2.72,-6.76,50.00,8.52,-1.5047,-0.1077,-0.3638,1.9409,-0.5089,0.4871,-2.2764,0.2560,-0.2895,3.5793,3.8895,0.7620,0.50,0.00,0.00,0
135,0.6400,0.1465,-0.0287,0.5571,-1.0475,-0.0056,0.0099,1.3725,-0.3011,0.0790,-0.6297,0.0373,-0.0441,1.5964,-0.4544,0.0181,-0.2156,-0.6090,-0.4614,1.0234,1.2820,0.2261,-1.8880,-0.0269,0.1359,2.5443,2.7335,0.5072,30.74,0.03,-15.07,-23.13,-14.18,2.59,-37.82,-1.16,0.86,1.25,26.24,5.16,-1.5872,-0.1134,-0.6351,2.1987,-0.4963,0.5323,-2.9113,0.0975,-0.1261,3.9805,1.7804,0.4746,0.50,0.00,0.00,0
136,0.6600,0.1513,-0.0258,0.5523,-1.0597,-0.0153,0.0042,1.3945,-0.2817,0.0835,-0.6853,0.0342,-0.0404,1.6373,-0.4605,0.0182,-1.1354,-0.1305,0.0114,1.6893,-1.1719,0.2457,-3.4614,-0.2354,0.1879,1.5890,-0.2937,0.0143,41.92,6.19,-29.07,-41.49,-9.73,3.20,-43.64,-4.68,1.65,4.89,-4.54,0.15,-1.3221,0.1561,-1.1554,1.8729,-0.5353,0.5920,-3.5929,-0.0829,-0.0673,4.0906,-0.8006,0.0858,0.50,0.00,0.00,0
137,0.6800,0.1546,-0.0230,0.5475,-1.0806,-0.0150,0.0067,1.4259,-0.3040,0.0880,-0.7585,0.0294,-0.0364,1.6597,-0.4786,0.0199,-0.9000,0.0758,0.1935,1.4358,-0.9616,0.2179,-3.7600,-0.2626,0.1960,0.8264,-0.8741,0.0795,43.45,9.99,-40.88,-53.04,-6.43,2.56,-28.22,-4.08,2.57,6.86,-9.66,0.76,-1.3273,0.3504,-1.5810,1.6724,-0.4344,0.5649,-3.3333,-0.0844,-0.0130,4.1323,-1.3269,0.1461,0.50,0.00,0.00,0
138,0.7000,0.1581,-0.0208,0.5433,-1.0941,-0.0131,0.0101,1.4531,-0.3225,0.0917,-0.8331,0.0253,-0.0332,1.6748,-0.5002,0.0217,-0.4441,0.0764,0.1421,1.2918,-0.8950,0.1687,-3.6059,-0.1831,0.1300,0.6443,-1.0421,0.0837,38.63,13.73,-44.83,-61.00,-10.41,1.47,-19.19,-2.84,1.94,10.10,-10.96,0.81,-1.5081,0.5096,-1.7299,1.5496,-0.7568,0.4976,-3.2545,-0.0407,-0.0347,4.2529,-1.5332,0.1566,0.50,0.00,0.00,0
139,0.7200,0.1621,-0.0194,0.5395,-1.1000,-0.0104,0.0130,1.4782,-0.3404,0.0947,-0.9034,0.0239,-0.0278,1.6818,-0.5169,0.0225,-0.1366,0.1356,0.1233,1.2164,-0.8932,0.1376,-3.3800,-0.0625,0.2964,0.1904,-0.8143,0.0377,26.01,17.33,-42.33,-66.18,-16.26,1.14,-13.90,-3.51,4.97,6.52,-8.57,0.31,-1.9867,0.6732,-1.6214,1.5016,-1.2171,0.4820,-3.2898,-0.0536,0.1328,4.1281,-1.3963,0.1179,0.50,0.00,0.00,0
140,0.7400,0.1661,-0.0185,0.5360,-1.1039,-0.0066,0.0158,1.5027,-0.3623,0.0970,-0.9699,0.0216,-0.0218,1.6772,-0.5293,0.0209,-0.1864,0.1955,0.1434,1.1927,-1.0806,0.1073,-3.2409,-0.1650,0.3127,-0.3994,-0.6064,-0.0750,6.24,20.37,-36.80,-78.98,-24.96,-0.34,-6.46,-4.88,5.33,2.42,-6.31,-0.82,-2.7963,0.8180,-1.3866,1.2560,-1.9253,0.3866,-3.2349,-0.1326,0.1736,3.9258,-1.2548,0.0145,0.50,0.00,0.00,0
141,0.7600,0.1696,-0.0179,0.5329,-1.1104,-0.0006,0.0208,1.5272,-0.3951,0.0986,-1.0321,0.0157,-0.0164,1.6631,-0.5379,0.0168,-0.3573,0.3399,0.3052,1.1646,-1.7784,0.0729,-2.9740,-0.3528,0.2745,-0.7943,-0.4280,-0.1949,-8.79,22.08,-30.06,-96.66,-28.21,-2.53,3.09,-4.71,3.60,2.01,-4.21,-1.97,-3.4483,0.9315,-1.0746,0.8805,-2.4041,0.2401,-3.0630,-0.1783,0.1195,3.8073,-1.1149,-0.1023,0.50,0.00,0.00,0
142,0.7800,0.1732,-0.0176,0.5308,-1.1143,0.0094,0.0297,1.5479,-0.4351,0.0991,-1.0812,0.0093,-0.0096,1.6493,-0.5436,0.0121,-0.0362,0.5919,0.5213,0.8690,-1.9929,0.0048,-2.0094,-0.3128,0.3531,-0.6080,-0.2778,-0.2236,-17.53,22.51,-25.43,-109.02,-29.69,-4.05,17.41,-1.95,2.82,8.86,-2.13,-2.21,-3.7699,1.0258,-0.8213,0.5988,-2.7073,0.1282,-2.5497,-0.0885,0.1285,3.9549,-0.9700,-0.1422,0.50,0.00,0.00,0
143,0.8000,0.1773,-0.0177,0.5302,-1.1111,0.0237,0.0411,1.5616,-0.4745,0.0985,-1.1099,0.0042,-0.0033,1.6395,-0.5477,0.0074,0.3171,0.7675,0.5925,0.5140,-1.8603,-0.0559,-0.9758,-0.2199,0.2785,-0.4068,-0.1957,-0.2273,-19.01,21.12,-25.37,-107.55,-28.32,-3.43,17.85,-0.43,1.50,10.20,-1.24,-2.23,-3.7616,1.0550,-0.7603,0.6481,-2.7496,0.1554,-2.4894,-0.0347,0.0902,3.9764,-0.9118,-0.1632,0.50,0.00,0.00,0
144,0.8200,0.1816,-0.0185,0.5308,-1.1018,0.0410,0.0537,1.5683,-0.5082,0.0981,-1.1199,0.0002,0.0011,1.6313,-0.5529,0.0029,0.6249,0.9769,0.6891,0.0675,-1.7434,1.0413,-0.1504,-0.1682,0.1814,-0.3752,-0.2478,-0.2134,-15.85,19.19,-24.37,-96.90,-25.28,-3.22,12.21,-1.24,1.31,7.63,-1.95,-2.11,-3.5621,1.0665,-0.6640,0.9214,-2.6103,0.1356,-2.6259,-0.0779,0.0868,3.8808,-0.9901,-0.1704,0.50,0.00,0.00,0
145,0.8400,0.1861,-0.0196,0.5318,-1.0893,0.0616,0.0679,1.5702,-0.5329,0.0964,-1.1149,-0.0039,0.0039,1.6214,-0.5609,-0.0006,0.6398,1.0517,0.7309,0.0607,-1.0042,-0.3338,0.5034,-0.2228,0.1243,-0.4914,-0.3818,-0.1660,-11.81,13.61,-18.74,-79.30,-20.68,-6.61,7.54,-1.90,0.95,3.49,-3.46,-1.65,-3.3294,0.9543,-0.3653,1.3708,-2.3215,-0.0630,-2.6891,-0.1244,0.0722,3.7156,-1.1486,-0.1446,0.50,0.00,0.00,0
146,0.8600,0.1906,-0.0211,0.5327,-1.0759,0.0819,0.0826,1.5705,-0.5502,0.0944,-1.0978,-0.0072,0.0077,1.6065,-0.5709,-0.0023,0.6287,0.9067,0.7040,0.0462,-0.6813,-0.3133,1.0446,-0.1688,0.2053,-0.7707,-0.4796,-0.0845,-9.13,7.93,-15.50,-66.40,-17.43,-8.45,4.11,-0.38,1.34,-1.20,-4.57,-0.83,-3.1665,0.7911,-0.1783,1.7093,-2.1162,-0.1610,-2.6727,-0.0681,0.1148,3.4956,-1.2811,-0.0809,0.50,0.00,0.00,0
147,0.8800,0.1951,-0.0228,0.5329,-1.0637,0.0959,0.0947,1.5710,-0.5588,0.0928,-1.0715,-0.0092,0.0115,1.5773,-0.5863,-0.0012,0.5349,0.4955,0.5351,0.0736,-0.2650,-0.0231,1.3610,-0.0937,0.1876,-1.5921,-0.7438,0.0510,0.74,4.33,-15.35,-52.79,-14.90,-6.74,-6.22,1.14,0.27,-13.06,-7.55,0.56,-2.7440,0.6372,-0.1539,2.0887,-1.8722,-0.1476,-2.9271,-0.0061,0.0854,2.9604,-1.5926,0.0426,0.50,0.00,0.00,0
148,0.9000,0.1995,-0.0245,0.5317,-1.0537,0.1001,0.1029,1.5735,-0.5553,0.0910,-1.0424,-0.0101,0.0148,1.5355,-0.6032,0.0037,0.4586,-0.0040,0.3332,0.1854,0.3347,0.1462,1.2763,0.0365,0.2786,-1.5022,-0.3014,0.6200,10.75,3.74,-16.07,-40.88,-12.71,-5.71,-14.17,1.39,-0.87,-23.63,-10.51,0.84,-2.3167,0.5535,-0.1792,2.4288,-1.5979,-0.0518,-3.1245,0.0122,0.0525,2.4613,-1.8253,0.1533,0.50,0.00,0.00,0
149,0.9200,0.2041,-0.0270,0.5293,-1.0495,0.0956,0.0948,1.5855,-0.5156,0.0530,-1.0301,0.0008,0.0210,1.5351,-0.5943,0.0254,0.1971,-0.3545,-0.8660,0.7000,2.4541,-2.0199,0.2775,0.7711,0.1562,0.9033,0.4099,1.0028,-12.17,-5.89,1.56,2.20,-0.09,0.55,15.06,5.32,14.57,-69.99,-19.80,-4.09,-3.2575,0.0949,0.3225,3.6887,-0.1992,-0.1536,-2.0851,0.3249,0.6988,1.5900,-2.2028,0.0276,0.50,0.00,0.00,0
150,0.9400,0.2088,-0.0301,0.5266,-1.0694,0.0822,0.0701,1.6494,-0.4098,0.0144,-1.0244,0.0234,0.0231,1.5513,-0.5884,0.0410,-1.5693,-0.9529,-1.2752,4.4879,6.0395,-1.6230,0.3752,1.1999,0.0591,0.7067,0.2870,0.6123,-26.03,-9.09,8.87,15.04,-0.48,0.34,21.73,-3.55,41.69,-85.66,-24.56,-11.82,-4.1465,-0.1698,0.4366,4.7380,0.8916,-0.2465,-1.7756,0.1356,1.7700,1.2117,-2.5356,-0.4990,0.50,0.00,0.00,0
151,0.9600,0.2131,-0.0317,0.5241,-1.1191,0.0548,0.0490,1.7447,-0.3261,-0.0025,-1.0194,0.0410,0.0245,1.5634,-0.5799,0.0489,-2.7689,-1.5078,-0.6872,4.6299,4.0989,-1.0504,0.2605,0.7093,0.1289,0.4962,0.4044,0.2728,-31.05,1.07,5.59,-3.64,-1.37,-0.13,20.88,-16.33,55.39,-88.00,-23.55,-16.21,-4.7365,0.0345,0.2996,4.6730,0.7961,-0.2222,-1.8041,-0.3764,2.3305,1.1723,-2.4112,-0.8279,0.50,0.00,0.00,0
152,0.9800,0.2172,-0.0321,0.5227,-1.1718,0.0303,0.0407,1.8130,-0.2794,-0.0106,-1.0124,0.0536,0.0272,1.5687,-0.5748,0.0535,-2.5188,-0.9807,-0.2245,2.4134,1.3841,-0.2364,0.4180,0.5716,0.1632,0.0898,0.2127,0.2103,-26.78,11.23,-4.18,-16.23,-3.83,0.20,18.11,-17.96,49.28,-76.82,-21.45,-16.26,-4.7458,0.4129,-0.0443,4.3507,0.3231,-0.0773,-1.8632,-0.4152,2.1038,1.4412,-2.2878,-0.8290,0.50,0.00,0.00,0
153,1.0000,0.2212,-0.0318,0.5224,-1.2098,0.0171,0.0365,1.8297,-0.2959,-0.0156,-1.0025,0.0646,0.0326,1.5666,-0.5851,0.0513,-1.5370,-0.4069,-0.2248,-0.2728,-1.7009,-0.2149,1.0464,0.6240,0.7473,-1.8741,-1.6452,-0.8711,-9.99,10.85,-7.17,-12.58,-2.19,0.28,2.14,-16.20,37.31,-67.51,-19.21,-10.95,-4.0781,0.4336,-0.1755,4.1763,-0.2402,-0.0869,-2.3995,-0.2958,1.7013,1.5406,-2.5824,-0.7863,0.50,0.00,0.00,0
154,1.0200,0.2252,-0.0303,0.5218,-1.2351,0.0065,0.0300,1.8165,-0.3445,-0.0233,-0.9939,0.0658,0.0372,1.5639,-0.5856,0.0370,-1.0039,-0.4561,-0.4208,-0.9248,-2.5348,-0.3515,0.1965,-0.0348,0.1376,0.4093,-0.0713,-0.5939,0.21,4.49,-5.08,2.08,0.62,0.30,-5.25,-10.06,28.28,-60.87,-18.82,-10.43,-3.6931,0.1314,-0.1438,4.4116,-0.4299,-0.1437,-2.7552,-0.1444,1.3025,1.8858,-2.2080,-0.6656,0.50,0.00,0.00,0
155,1.0400,0.2294,-0.0279,0.5211,-1.2447,-0.0011,0.0193,1.7889,-0.4008,-0.0283,-0.9873,0.0642,0.0404,1.5683,-0.5916,0.0291,-0.1626,-0.2680,-0.6203,-1.5871,-2.6954,-0.1866,0.5637,0.0119,0.2479,-0.2600,-0.4756,-0.0664,1.88,3.20,-3.45,5.03,1.30,0.21,-7.75,-11.97,30.20,-69.34,-20.39,-9.78,-3.5360,0.0780,-0.1526,4.2928,-0.6474,-0.1374,-2.7788,-0.2237,1.4075,1.6054,-2.4936,-0.5505,0.50,0.00,0.00,0
156,1.0600,0.2339,-0.0246,0.5206,-1.2389,-0.0061,0.0080,1.7447,-0.4604,-0.0279,-0.9798,0.0621,0.0449,1.5713,-0.5976,0.0297,0.5539,-0.1709,-0.5471,-2.4844,-2.8524,0.0565,0.4389,-0.0636,0.2062,0.1151,-0.5671,0.1716,-1.41,0.48,0.59,4.14,1.18,-0.03,-6.13,-11.17,26.19,-73.34,-23.75,-10.24,-3.5343,-0.0355,-0.0278,3.9804,-0.9239,-0.1026,-2.7133,-0.2136,1.2607,1.5591,-2.6352,-0.5507,0.50,0.00,0.00,0
157,1.0800,0.2386,-0.0208,0.5204,-1.2215,-0.0064,-0.0005,1.6868,-0.5209,-0.0195,-0.9698,0.0621,0.0489,1.5712,-0.6045,0.0356,1.0191,0.1074,-0.3545,-2.9764,-2.8467,0.4221,0.5136,0.0527,0.1496,0.0224,-0.4355,0.3627,-6.18,-0.18,2.13,6.19,1.21,-0.20,-2.72,-11.15,25.75,-80.00,-25.43,-11.13,-3.5806,-0.0209,0.0274,3.7366,-1.1645,-0.0076,-2.5177,-0.1932,1.2512,1.3618,-2.7743,-0.5380,0.50,0.00,0.00,0
158,1.1000,0.2438,-0.0171,0.5204,-1.2010,0.0015,-0.0029,1.6312,-0.5640,-0.0064,-0.9580,0.0672,0.0509,1.5681,-0.6093,0.0450,0.9713,0.5437,0.0150,-2.4711,-1.6797,0.5979,0.5413,0.3257,0.0284,-0.0540,-0.2205,0.4717,-8.91,-1.85,3.82,9.49,1.48,-0.33,-1.01,-7.15,22.23,-78.51,-23.74,-9.27,-3.6097,0.0110,0.1399,3.6565,-1.0982,0.0723,-2.3909,0.0300,1.1003,1.3728,-2.6593,-0.3476,0.50,0.00,0.00,0
159,1.1200,0.2496,-0.0133,0.5200,-1.1911,0.0137,0.0000,1.6183,-0.5542,0.0299,-0.9441,0.0763,0.0505,1.5651,-0.6133,0.0547,0.2483,0.5097,0.0912,0.1683,1.0366,1.3182,0.7628,0.4669,-0.0435,-0.1491,-0.1803,0.4751,-1.34,-3.99,5.10,-3.35,-4.55,-4.41,-3.99,-3.90,15.93,-68.47,-20.36,-8.64,-3.3787,-0.0220,0.2211,3.5988,-0.9113,0.1136,-2.4219,0.2215,0.8331,1.6150,-2.4448,-0.2650,0.50,0.00,0.00,0
160,1.1400,0.2563,-0.0090,0.5201,-1.1812,0.0220,0.0010,1.6195,-0.5322,0.0605,-0.9244,0.0834,0.0484,1.5608,-0.6172,0.0630,0.6329,0.3496,0.0099,0.0456,1.0878,1.4065,1.1408,0.2984,-0.1379,-0.2779,-0.2349,0.3595,9.32,-1.16,1.58,-10.59,-6.19,-5.04,-11.85,-5.29,11.07,-66.09,-19.04,-8.09,-2.8588,0.0969,0.0699,3.4005,-0.9293,0.1859,-2.6030,0.1683,0.6159,1.6484,-2.3817,-0.2159,0.50,0.00,0.00,0
161,1.1600,0.2636,-0.0040,0.5205,-1.1660,0.0256,0.0013,1.6191,-0.5110,0.0883,-0.9002,0.0854,0.0454,1.5544,-0.6184,0.0669,0.8075,0.0809,0.0195,-0.0196,0.9838,1.2191,1.2905,0.0167,-0.1340,-0.4194,-0.1186,0.1393,14.82,0.27,-3.02,-21.36,-9.85,-7.37,-21.69,-7.34,8.34,-56.96,-14.14,-7.20,-2.5486,0.1283,-0.1129,3.1032,-1.1072,0.1052,-2.8737,0.0519,0.4936,1.8491,-2.0376,-0.1844,0.50,0.00,0.00,0
162,1.1800,0.2708,0.0018,0.5212,-1.1480,0.0209,0.0022,1.6168,-0.4973,0.1215,-0.8760,0.0815,0.0442,1.5461,-0.6128,0.0652,0.8354,-0.3918,0.0516,-0.0285,0.6764,0.8223,1.1816,-0.2749,0.0052,-0.4959,0.2100,-0.1222,25.37,2.60,-13.74,-42.73,-16.77,-9.83,-33.17,-7.13,2.65,-36.79,-4.67,-4.83,-2.0444,0.1300,-0.5339,2.5186,-1.5791,0.0520,-3.2496,0.0004,0.2803,2.3436,-1.3207,-0.0843,0.50,0.00,0.00,0
163,1.2000,0.2771,0.0081,0.5215,-1.1346,0.0124,0.0052,1.6169,-0.4853,0.1337,-0.8711,0.0710,0.0369,1.5512,-0.5826,0.0639,0.6004,-0.3660,0.2064,-0.0036,0.5047,0.5420,-0.2997,-0.4719,-0.4336,0.7805,1.1158,0.0662,35.83,7.84,-33.20,-66.14,-23.01,-7.06,-40.62,-5.94,-5.55,-5.28,16.90,-1.90,-1.6133,0.3037,-1.2766,1.9044,-1.9734,0.1707,-3.7399,-0.0303,-0.1399,3.3486,0.4225,0.1379,0.50,0.00,0.00,0
164,1.2200,0.2820,0.0138,0.5215,-1.1271,0.0038,0.0079,1.6187,-0.4816,0.1436,-0.9084,0.0575,0.0220,1.6084,-0.5301,0.0688,0.3545,-0.3975,0.0393,0.0990,0.0130,0.3962,-2.4644,-0.5785,-0.9283,3.0383,2.8109,0.1434,50.26,11.53,-56.01,-78.37,-27.32,-3.88,-51.47,-6.71,-10.69,22.62,26.47,1.55,-1.0458,0.4138,-2.2001,1.5983,-2.3396,0.3955,-4.6531,-0.1320,-0.4777,4.6241,1.5897,0.4057,0.50,0.00,0.00,0
165,1.2400,0.2861,0.0186,0.5220,-1.1228,-0.0027,0.0074,1.6206,-0.4833,0.1499,-0.9639,0.0520,0.0121,1.6569,-0.5324,0.0654,0.1449,-0.3086,-0.0841,0.0799,-0.1381,0.2806,-3.0379,-0.2149,-0.3630,1.9989,-0.1096,-0.1641,30.65,12.95,-52.92,-73.74,-23.65,-4.23,-35.49,-9.80,2.05,14.39,-2.22,-1.81,-1.8423,0.4600,-2.0980,1.7269,-2.1352,0.3728,-4.3291,-0.2164,0.0729,4.4720,-0.8980,0.1091,0.50,0.00,0.00,0
